                  epoch,         train/box_loss,         train/seg_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),   metrics/precision(M),      metrics/recall(M),       metrics/mAP50(M),    metrics/mAP50-95(M),           val/box_loss,           val/seg_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 1.6146,                 4.1044,                 3.0274,                 1.5011,                0.08953,                0.18182,                0.03632,                0.01927,                0.05811,                0.12727,                0.02255,                 0.0094,                 1.7997,                 3.7343,                  3.815,                 1.4867,                 0.0001,                 0.0001,                 0.0001
                      2,                 1.4969,                 3.1839,                 2.4502,                 1.4136,                0.13806,                0.21818,                0.09228,                0.04191,                0.14226,                0.21818,                0.08461,                0.02525,                 1.6187,                  3.286,                 8.4281,                 1.3982,             0.00021782,             0.00021782,             0.00021782
                      3,                 1.3935,                 3.1336,                 1.7522,                 1.3159,                0.16153,                0.16364,                0.13707,                0.03936,                0.12543,                0.12727,                0.05588,                 0.0163,                 1.9327,                 3.6949,                 7.5123,                 1.6419,             0.00033327,             0.00033327,             0.00033327
                      4,                 1.3894,                 3.0268,                 1.9687,                 1.3227,                0.30379,                0.41818,                0.23899,                0.09885,                0.22454,                0.30909,                0.15007,                0.05851,                  1.698,                 3.6287,                 9.8543,                 1.5057,             0.00044634,             0.00044634,             0.00044634
                      5,                 1.4253,                 2.7516,                 1.5247,                 1.2678,                0.25194,                    0.4,                0.27297,                0.12717,                0.21651,                0.36364,                0.18468,                0.05849,                 1.9349,                 4.0689,                 8.5038,                 1.7473,             0.00055703,             0.00055703,             0.00055703
                      6,                 1.3111,                 2.8014,                 1.7173,                 1.2519,                0.29002,                0.41818,                0.23158,                0.08166,                0.13466,                0.27273,                0.08734,                0.02447,                 2.1194,                 5.8534,                  4.374,                 1.9021,             0.00066535,             0.00066535,             0.00066535
                      7,                 1.4641,                 2.6808,                 1.5735,                 1.3413,                0.27735,                0.27273,                 0.1889,                0.07166,                0.25862,                0.25455,                0.13798,                0.04646,                 2.1534,                 7.6149,                 3.4399,                 1.9941,             0.00077129,             0.00077129,             0.00077129
                      8,                 1.4054,                 3.0349,                 1.4905,                 1.3841,                0.09552,                0.36364,                0.08863,                0.04003,                0.07885,                0.32727,                0.04044,                0.01069,                 2.0379,                 7.4376,                 16.783,                 2.0915,             0.00087486,             0.00087486,             0.00087486
                      9,                 1.5629,                 2.8094,                 1.5451,                 1.4113,                0.03367,                0.34545,                0.02976,                0.01185,                0.02711,                0.30909,                  0.018,                0.00514,                 2.2242,                 5.6215,                 40.696,                 2.4218,             0.00097605,             0.00097605,             0.00097605
                     10,                 1.6043,                 3.2867,                 1.6242,                 1.4697,                0.05089,                0.45455,                 0.0423,                0.01842,                0.04311,                0.38182,                0.03049,                0.00901,                 2.0012,                 6.5226,                 36.188,                 2.0512,              0.0010749,              0.0010749,              0.0010749
                     11,                 1.5127,                 2.8996,                 1.3921,                 1.4325,                0.10804,                0.30909,                0.08103,                0.03087,                0.05017,                0.14545,                0.01607,                0.00411,                 2.2107,                  22.03,                 8.2215,                  1.896,              0.0011713,              0.0011713,              0.0011713
                     12,                 1.4592,                 2.7069,                 1.3356,                 1.3361,                 0.2262,                    0.2,                0.12402,                 0.0582,                0.20536,                0.18182,                0.09317,                0.03776,                 2.3708,                 18.241,                 2.8887,                 2.0204,              0.0012654,              0.0012654,              0.0012654
                     13,                  1.501,                 2.9946,                 1.3719,                 1.3911,                0.20437,                0.09091,                0.08341,                0.03783,                0.28302,                0.12727,                0.08779,                0.03785,                 2.7748,                 11.158,                 3.3421,                 2.4144,               0.001357,               0.001357,               0.001357
                     14,                 1.5369,                 2.6081,                 1.4569,                 1.4141,                0.12694,                0.19567,                0.07887,                0.02392,                0.17786,                0.09091,                0.06957,                0.01744,                 2.9764,                 11.959,                 3.5079,                 2.7912,              0.0014464,              0.0014464,              0.0014464
