                  epoch,         train/box_loss,         train/seg_loss,         train/obj_loss,         train/cls_loss,   metrics/precision(B),      metrics/recall(B),     metrics/mAP_0.5(B),metrics/mAP_0.5:0.95(B),   metrics/precision(M),      metrics/recall(M),     metrics/mAP_0.5(M),metrics/mAP_0.5:0.95(M),           val/box_loss,           val/seg_loss,           val/obj_loss,           val/cls_loss,                  x/lr0,                  x/lr1,                  x/lr2
                      0,                0.12762,                0.19677,               0.016273,                      0,              0.0058239,                    0.2,              0.0029289,             0.00077351,             0.00098153,               0.072727,             0.00045518,             0.00015678,                0.12501,                0.18273,               0.012634,                      0,                    0.1,                      0,                      0
                      1,                0.12753,                0.19007,               0.017389,                      0,               0.005906,                0.16364,              0.0029028,             0.00076021,             0.00070572,               0.090909,             0.00052209,             0.00017835,                0.12497,                0.18221,               0.012602,                      0,               0.099099,              9.901e-05,              9.901e-05
                      2,                0.13013,                0.18358,                0.01512,                      0,              0.0060608,                0.16364,              0.0029851,             0.00075849,             0.00055556,               0.072727,             0.00041581,             0.00014646,                0.12483,                0.17647,               0.012589,                      0,               0.098196,             0.00019604,             0.00019604
                      3,                0.12695,                0.20287,               0.017724,                      0,              0.0058994,                0.16364,               0.002833,             0.00076987,             0.00097222,                0.12727,              0.0006567,             0.00018187,                0.12437,                0.16676,               0.012611,                      0,               0.097291,             0.00029109,             0.00029109
                      4,                0.12741,                0.18098,               0.017608,                      0,              0.0051129,                0.16364,              0.0027221,              0.0008494,              0.0011111,                0.14545,             0.00072414,             0.00021285,                0.12385,                  0.156,               0.012655,                      0,               0.096384,             0.00038416,             0.00038416
                      5,                0.12754,                0.16519,               0.017467,                      0,              0.0043027,                0.16364,              0.0028397,             0.00080996,             0.00097222,                0.12727,             0.00064757,             0.00019147,                0.12301,                0.14289,               0.012749,                      0,               0.095475,             0.00047525,             0.00047525
                      6,                0.12624,                0.16188,               0.017631,                      0,              0.0041791,                0.16364,              0.0026189,             0.00080195,                0.00125,                0.16364,             0.00086182,             0.00020079,                0.12207,                0.13146,               0.012856,                      0,               0.094564,             0.00056436,             0.00056436
                      7,                0.12509,                0.15245,                0.01958,                      0,              0.0048975,                0.16364,              0.0029275,             0.00083275,              0.0015278,                    0.2,              0.0011228,             0.00024347,                 0.1209,                0.12239,               0.012997,                      0,               0.093651,             0.00065149,             0.00065149
                      8,                0.12547,                0.14001,               0.018008,                      0,              0.0046434,               0.090909,              0.0029113,              0.0008236,              0.0016574,                0.18182,              0.0012107,             0.00024644,                0.11938,                0.11566,               0.013199,                      0,               0.092737,             0.00073664,             0.00073664
                      9,                0.12431,                0.12335,               0.018125,                      0,              0.0067489,               0.090909,              0.0029146,             0.00090491,              0.0026996,               0.036364,              0.0016427,             0.00030579,                0.11797,                0.11126,               0.013393,                      0,                0.09182,             0.00081981,             0.00081981
                     10,                0.12392,                 0.1181,               0.020403,                      0,              0.0046042,               0.072727,              0.0029701,             0.00091997,              0.0057552,               0.090909,              0.0018989,             0.00040774,                0.11645,                0.10851,               0.013626,                      0,               0.090901,               0.000901,               0.000901
                     11,                0.12156,                0.11061,               0.019387,                      0,              0.0087294,                0.12727,              0.0039973,              0.0011188,              0.0045186,                0.16364,              0.0023107,             0.00048008,                0.11472,                0.10586,               0.013885,                      0,                0.08998,             0.00098021,             0.00098021
                     12,                0.11987,                0.11095,               0.019753,                      0,               0.015788,                0.12727,              0.0045625,              0.0012375,              0.0022253,                0.29091,              0.0027136,             0.00049596,                0.11274,                0.10309,               0.014206,                      0,               0.089057,              0.0010574,              0.0010574
                     13,                0.11729,                0.10995,               0.020776,                      0,               0.016811,                0.12727,              0.0056097,              0.0013706,              0.0096064,               0.072727,              0.0029121,             0.00062408,                0.11049,                0.10014,               0.014633,                      0,               0.088133,              0.0011327,              0.0011327
                     14,                 0.1174,                0.10623,               0.022079,                      0,               0.012361,               0.090909,              0.0048557,              0.0012577,              0.0074169,               0.054545,              0.0030369,             0.00065778,                0.10855,               0.096975,               0.015018,                      0,               0.087206,               0.001206,               0.001206
                     15,                0.11625,               0.096695,               0.021203,                      0,               0.015641,               0.090909,                0.00549,              0.0013623,              0.0062562,               0.036364,              0.0036706,             0.00080209,                0.10628,               0.094085,               0.015488,                      0,               0.086277,              0.0012772,              0.0012772
                     16,                0.11294,               0.091045,               0.023109,                      0,               0.016791,               0.072727,              0.0065269,              0.0015949,              0.0083956,               0.036364,              0.0047839,             0.00085805,                0.10444,               0.092018,                0.01582,                      0,               0.085347,              0.0013466,              0.0013466
                     17,                0.11115,               0.084617,               0.022704,                      0,               0.024795,               0.090909,              0.0079484,              0.0019335,               0.014877,               0.054545,              0.0051257,              0.0010432,                0.10275,                0.08917,               0.016083,                      0,               0.084414,              0.0014139,              0.0014139
                     18,                0.10845,               0.081933,               0.022613,                      0,               0.018551,               0.054545,              0.0073769,              0.0019552,               0.024734,               0.072727,              0.0083186,               0.001474,                0.10175,               0.088117,               0.016228,                      0,               0.083479,              0.0014792,              0.0014792
                     19,                0.10599,               0.079215,               0.024851,                      0,                 0.0363,               0.072727,               0.012525,              0.0030954,               0.027225,               0.054545,              0.0098114,              0.0023958,                0.10111,               0.086634,               0.016224,                      0,               0.082543,              0.0015426,              0.0015426
                     20,                0.10401,               0.076463,               0.026065,                      0,               0.042961,               0.090909,                0.01284,               0.003768,               0.042961,               0.090909,               0.011157,               0.003477,               0.099814,               0.085163,               0.016396,                      0,               0.081604,               0.001604,               0.001604
                     21,                0.10083,               0.073333,                0.02614,                      0,               0.042964,                0.12727,               0.017502,              0.0051303,               0.042964,                0.12727,               0.017196,              0.0052614,               0.099536,               0.082994,               0.016304,                      0,               0.080663,              0.0016634,              0.0016634
                     22,               0.099344,               0.073336,               0.027686,                      0,               0.037511,                0.18182,               0.020538,              0.0074255,               0.041262,                    0.2,               0.024258,               0.007682,               0.099035,               0.082177,               0.016273,                      0,               0.079721,              0.0017208,              0.0017208
                     23,                0.09735,               0.073498,               0.028334,                      0,                0.09407,                0.14545,               0.045639,               0.016046,               0.070553,                0.10909,                0.04358,               0.014961,               0.098316,               0.080703,               0.016289,                      0,               0.078776,              0.0017763,              0.0017763
                     24,               0.097726,               0.063271,               0.026084,                      0,                0.10322,                0.12727,                0.03353,              0.0099635,                0.10462,                0.14545,                0.04244,                0.01248,               0.097947,               0.080688,               0.016155,                      0,                0.07783,              0.0018298,              0.0018298
                     25,               0.094323,               0.067345,               0.028159,                      0,                 0.1236,                0.14545,                0.05208,               0.014797,                0.13905,                0.16364,               0.056059,               0.020743,               0.097718,               0.081382,                0.01614,                      0,               0.076881,              0.0018812,              0.0018812
                     26,               0.091955,               0.060891,               0.028655,                      0,                0.16456,                0.16364,               0.071713,               0.016973,                0.14483,                0.12727,               0.060182,               0.020856,               0.095412,               0.079024,               0.016514,                      0,               0.075931,              0.0019308,              0.0019308
                     27,               0.090358,               0.056268,                0.02475,                      0,                0.17683,                0.14545,               0.077449,               0.023103,                0.23002,                0.14545,               0.093491,               0.034338,               0.096622,               0.078864,               0.016247,                      0,               0.074978,              0.0019783,              0.0019783
                     28,               0.087623,               0.063626,               0.032224,                      0,                0.25258,                0.18182,                0.12552,               0.032369,                0.27036,                0.16364,                0.10207,               0.031249,               0.093276,               0.076441,               0.016644,                      0,               0.074024,              0.0020238,              0.0020238
                     29,               0.087581,               0.059793,               0.032513,                      0,                0.18726,                0.14545,               0.097411,               0.029344,                0.25352,                0.12727,               0.088052,               0.034603,               0.096009,               0.077571,               0.016434,                      0,               0.073067,              0.0020674,              0.0020674
                     30,               0.087483,               0.059936,               0.029818,                      0,                0.25029,                0.25455,                0.14742,               0.035813,                0.22201,                0.21818,               0.096815,               0.034681,               0.091157,               0.078197,               0.016869,                      0,               0.072109,               0.002109,               0.002109
                     31,               0.084163,               0.057786,               0.027411,                      0,                0.15414,                0.18182,               0.065846,               0.016401,                0.20027,                    0.2,               0.099569,               0.033665,               0.094986,               0.080141,               0.016735,                      0,               0.071149,              0.0021486,              0.0021486
                     32,                0.08417,                0.05717,               0.029686,                      0,                0.20167,                0.21818,                0.08508,               0.020935,                0.23883,                0.25455,                0.10729,               0.034507,                0.09033,               0.080534,               0.017159,                      0,               0.070186,              0.0021862,              0.0021862
                     33,               0.080325,               0.057082,               0.026774,                      0,                0.25883,                0.23636,                0.10816,               0.025762,                 0.3328,                0.23636,                 0.1479,               0.043202,               0.092464,               0.083907,               0.017071,                      0,               0.069222,              0.0022219,              0.0022219
                     34,                0.08052,               0.057004,               0.030255,                      0,                0.18698,                0.27273,               0.095348,               0.028015,                0.24246,                0.32727,                0.11414,               0.035423,               0.090086,               0.084582,               0.017345,                      0,               0.068256,              0.0022556,              0.0022556
                     35,               0.080415,               0.054858,               0.028364,                      0,                0.23239,                0.23636,                0.11439,               0.024336,                 0.2233,                0.27273,                0.15289,               0.044228,               0.091001,               0.083269,               0.017902,                      0,               0.067287,              0.0022873,              0.0022873
                     36,               0.078824,               0.049868,               0.028711,                      0,                0.18752,                0.30909,                0.13114,               0.036324,                0.19908,                0.32727,                0.11131,               0.039601,               0.089732,               0.082983,               0.018524,                      0,               0.066317,               0.002317,               0.002317
                     37,                0.07541,               0.051684,               0.028236,                      0,                0.23212,                    0.2,                0.10223,               0.023116,                 0.2205,                0.29091,                0.12733,               0.041053,               0.089775,               0.082842,               0.019531,                      0,               0.065345,              0.0023447,              0.0023447
                     38,               0.077126,               0.051643,               0.027641,                      0,                0.28023,                    0.2,                 0.1374,               0.040567,                0.15822,                0.21818,                0.10743,               0.036825,               0.087626,               0.082318,               0.019978,                      0,                0.06437,              0.0023704,              0.0023704
                     39,               0.072823,               0.053802,               0.026307,                      0,                0.18998,                0.21818,                0.10011,               0.024645,                0.25585,                0.29091,                0.13527,                0.04013,               0.087662,               0.086931,               0.020683,                      0,               0.063394,              0.0023942,              0.0023942
                     40,               0.073101,               0.053396,               0.029524,                      0,                0.29397,                0.25455,                0.18376,               0.050374,                0.19112,                0.18182,                0.11101,               0.042645,               0.087467,               0.093266,               0.020641,                      0,               0.062416,               0.002416,               0.002416
                     41,               0.072668,               0.049877,               0.027499,                      0,                 0.1981,                0.25455,                0.11739,               0.031844,                0.24055,                0.30909,                0.14601,               0.046941,               0.086755,               0.088869,               0.021523,                      0,               0.061436,              0.0024358,              0.0024358
                     42,               0.075023,               0.055069,               0.026943,                      0,                0.26212,                0.27273,                0.15613,               0.055735,                0.25369,                0.27273,                0.17305,                0.05642,               0.083343,               0.081023,               0.021843,                      0,               0.060454,              0.0024536,              0.0024536
                     43,                0.06933,               0.048415,               0.026387,                      0,                0.18041,                0.27273,                0.13359,               0.035878,                0.21426,                0.35207,                0.16495,               0.054318,               0.085067,               0.082845,               0.022533,                      0,               0.059469,              0.0024695,              0.0024695
                     44,               0.071182,               0.050178,               0.025655,                      0,                0.23385,                0.25455,                0.14344,               0.042179,                0.21966,                0.23636,                0.11662,               0.040616,               0.083854,               0.084109,               0.021526,                      0,               0.058483,              0.0024834,              0.0024834
                     45,               0.069448,               0.046758,               0.028114,                      0,                0.17251,                0.25455,                0.15518,               0.031441,                0.30778,                0.27273,                0.20608,               0.066214,               0.085732,               0.088767,               0.021599,                      0,               0.057495,              0.0024953,              0.0024953
                     46,                0.06998,               0.047098,               0.024711,                      0,                0.28406,                0.27273,                0.18644,               0.067542,                0.34677,                0.30887,                0.21071,               0.067677,               0.080862,               0.092513,                0.02116,                      0,               0.056505,              0.0025052,              0.0025052
